"","NEGERI","variable","value","daily","Month","Year"
"80","MELAKA","Minggu.28.1",7,2011-07-15,2011-07-01,2011-01-01
"81","MELAKA","Minggu.29.1",7,2011-07-22,2011-07-01,2011-01-01
"82","MELAKA","Minggu.30.1",8,2011-07-29,2011-07-01,2011-01-01
"83","MELAKA","Minggu.31..1",3,2011-08-05,2011-08-01,2011-01-01
"84","MELAKA","Minggu.32.1",5,2011-08-12,2011-08-01,2011-01-01
"85","MELAKA","Minggu.33.1",5,2011-08-19,2011-08-01,2011-01-01
"86","MELAKA","Minggu.34.1",4,2011-08-26,2011-08-01,2011-01-01
"87","MELAKA","Minggu.35.1",2,2011-09-02,2011-09-01,2011-01-01
"88","MELAKA","Minggu.36.1",3,2011-09-09,2011-09-01,2011-01-01
"89","MELAKA","Minggu.37.1",5,2011-09-16,2011-09-01,2011-01-01
"90","MELAKA","Minggu.38.1",5,2011-09-23,2011-09-01,2011-01-01
"91","MELAKA","Minggu.39.1",9,2011-09-30,2011-09-01,2011-01-01
"92","MELAKA","Minggu.40.1",9,2011-10-07,2011-10-01,2011-01-01
"93","MELAKA","Minggu.41.1",13,2011-10-14,2011-10-01,2011-01-01
"94","MELAKA","Minggu.42.1",9,2011-10-21,2011-10-01,2011-01-01
"95","MELAKA","Minggu.43.1",13,2011-10-28,2011-10-01,2011-01-01
"96","MELAKA","Minggu.44.1",7,2011-11-04,2011-11-01,2011-01-01
"97","MELAKA","Minggu.45.1",7,2011-11-11,2011-11-01,2011-01-01
"98","MELAKA","Minggu.46.1",13,2011-11-18,2011-11-01,2011-01-01
"99","MELAKA","Minggu.47.1",14,2011-11-25,2011-11-01,2011-01-01
"100","MELAKA","Minggu.48.1",12,2011-12-02,2011-12-01,2011-01-01
"101","MELAKA","Minggu.49.1",16,2011-12-09,2011-12-01,2011-01-01
"102","MELAKA","Minggu.50.1",15,2011-12-16,2011-12-01,2011-01-01
"103","MELAKA","Minggu.51.1",16,2011-12-23,2011-12-01,2011-01-01
"104","MELAKA","Minggu.52.1",7,2011-12-30,2011-12-01,2011-01-01
"105","MELAKA","Minggu.1.2",15,2012-01-06,2012-01-01,2012-01-01
"106","MELAKA","Minggu.2.2",12,2012-01-13,2012-01-01,2012-01-01
"107","MELAKA","Minggu.3.2",18,2012-01-20,2012-01-01,2012-01-01
"108","MELAKA","Minggu.4.2",19,2012-01-27,2012-01-01,2012-01-01
"109","MELAKA","Minggu.5.2",14,2012-02-03,2012-02-01,2012-01-01
"110","MELAKA","Minggu.6.2",15,2012-02-10,2012-02-01,2012-01-01
"111","MELAKA","Minggu.7.2",18,2012-02-17,2012-02-01,2012-01-01
"112","MELAKA","Minggu.8.2",12,2012-02-24,2012-02-01,2012-01-01
"113","MELAKA","Minggu.9.2",19,2012-03-02,2012-03-01,2012-01-01
"114","MELAKA","Minggu.10.2",10,2012-03-09,2012-03-01,2012-01-01
"115","MELAKA","Minggu.11.2",19,2012-03-16,2012-03-01,2012-01-01
"116","MELAKA","Minggu.12.2",9,2012-03-23,2012-03-01,2012-01-01
"117","MELAKA","Minggu.13.2",18,2012-03-30,2012-03-01,2012-01-01
"118","MELAKA","Minggu.14.2",12,2012-04-06,2012-04-01,2012-01-01
"119","MELAKA","Minggu.15.2",11,2012-04-13,2012-04-01,2012-01-01
"120","MELAKA","Minggu.16.2",11,2012-04-20,2012-04-01,2012-01-01
"121","MELAKA","Minggu.17.2",9,2012-04-27,2012-04-01,2012-01-01
"122","MELAKA","Minggu.18.2",7,2012-05-04,2012-05-01,2012-01-01
