"","NEGERI","variable","value"
"149","SABAH","Week 10",19.8
"150","LABUAN","Week 10",0
"151","PERLIS","Week 11",2.8
"152","KEDAH","Week 11",9.4
"153","PULAU PINANG","Week 11",23.4
"154","PERAK","Week 11",54.2
"155","SELANGOR","Week 11",412.6
"156","WPKL/PUTRAJAYA","Week 11",84.4
"157","N.SEMBILAN","Week 11",26.2
"158","MELAKA","Week 11",20
"159","JOHOR","Week 11",55.8
"160","PAHANG","Week 11",19.4
"161","TERENGGANU","Week 11",11.6
"162","KELANTAN","Week 11",48.2
"163","SARAWAK","Week 11",35
"164","SABAH","Week 11",16.4
"165","LABUAN","Week 11",0.2
"166","PERLIS","Week 12",1.8
"167","KEDAH","Week 12",11.6
"168","PULAU PINANG","Week 12",21.2
"169","PERAK","Week 12",47
"170","SELANGOR","Week 12",391.2
"171","WPKL/PUTRAJAYA","Week 12",73.2
"172","N.SEMBILAN","Week 12",17
"173","MELAKA","Week 12",13.8
"174","JOHOR","Week 12",46.2
"175","PAHANG","Week 12",16.8
"176","TERENGGANU","Week 12",13.4
"177","KELANTAN","Week 12",48
"178","SARAWAK","Week 12",32.4
"179","SABAH","Week 12",13.4
"180","LABUAN","Week 12",0.2
"181","PERLIS","Week 13",2.25
"182","KEDAH","Week 13",10.5
"183","PULAU PINANG","Week 13",21
"184","PERAK","Week 13",31.25
"185","SELANGOR","Week 13",233.25
"186","WPKL/PUTRAJAYA","Week 13",53.75
"187","N.SEMBILAN","Week 13",13.75
"188","MELAKA","Week 13",10.75
"189","JOHOR","Week 13",48
"190","PAHANG","Week 13",13.5
"191","TERENGGANU","Week 13",16.75
"192","KELANTAN","Week 13",22.5
"193","SARAWAK","Week 13",26.5
"194","SABAH","Week 13",12.5
"195","LABUAN","Week 13",0
"196","PERLIS","Week 14",4
"197","KEDAH","Week 14",11.2
"198","PULAU PINANG","Week 14",17.25
"199","PERAK","Week 14",35.2
"200","SELANGOR","Week 14",246.75
"201","WPKL/PUTRAJAYA","Week 14",61
"202","N.SEMBILAN","Week 14",14.4
"203","MELAKA","Week 14",8.75
"204","JOHOR","Week 14",43.5
"205","PAHANG","Week 14",13.6
"206","TERENGGANU","Week 14",8
"207","KELANTAN","Week 14",17
"208","SARAWAK","Week 14",24.25
"209","SABAH","Week 14",11.2
"210","LABUAN","Week 14",0
"211","PERLIS","Week 15",1.4
"212","KEDAH","Week 15",15.2
"213","PULAU PINANG","Week 15",21.6
"214","PERAK","Week 15",37.2
"215","SELANGOR","Week 15",380.4
"216","WPKL/PUTRAJAYA","Week 15",61.6
"217","N.SEMBILAN","Week 15",15.6
"218","MELAKA","Week 15",12.4
"219","JOHOR","Week 15",50
"220","PAHANG","Week 15",13.4
"221","TERENGGANU","Week 15",9
"222","KELANTAN","Week 15",37.4
"223","SARAWAK","Week 15",26.8
"224","SABAH","Week 15",12.8
"225","LABUAN","Week 15",1.2
"226","PERLIS","Week 16",2.4
"227","KEDAH","Week 16",16
"228","PULAU PINANG","Week 16",24.2
"229","PERAK","Week 16",40.4
"230","SELANGOR","Week 16",350.6
"231","WPKL/PUTRAJAYA","Week 16",69
"232","N.SEMBILAN","Week 16",23.6
"233","MELAKA","Week 16",11.6
"234","JOHOR","Week 16",43.4
"235","PAHANG","Week 16",14
"236","TERENGGANU","Week 16",10.2
"237","KELANTAN","Week 16",38.4
"238","SARAWAK","Week 16",23
"239","SABAH","Week 16",14
"240","LABUAN","Week 16",0.2
"241","PERLIS","Week 17",1.6
"242","KEDAH","Week 17",16.2
"243","PULAU PINANG","Week 17",23.8
"244","PERAK","Week 17",36.6
"245","SELANGOR","Week 17",287.4
"246","WPKL/PUTRAJAYA","Week 17",71
"247","N.SEMBILAN","Week 17",24.6
"248","MELAKA","Week 17",11.8
"249","JOHOR","Week 17",49.4
"250","PAHANG","Week 17",14.6
"251","TERENGGANU","Week 17",7
"252","KELANTAN","Week 17",32.6
"253","SARAWAK","Week 17",26.8
"254","SABAH","Week 17",12.2
"255","LABUAN","Week 17",0.2
"256","PERLIS","Week 18",2.4
"257","KEDAH","Week 18",17
"258","PULAU PINANG","Week 18",18.2
"259","PERAK","Week 18",34.6
"260","SELANGOR","Week 18",283.6
"261","WPKL/PUTRAJAYA","Week 18",64.4
"262","N.SEMBILAN","Week 18",29.2
"263","MELAKA","Week 18",10.8
"264","JOHOR","Week 18",63.8
"265","PAHANG","Week 18",13.4
"266","TERENGGANU","Week 18",8.4
"267","KELANTAN","Week 18",27.8
"268","SARAWAK","Week 18",28.6
"269","SABAH","Week 18",16.6
"270","LABUAN","Week 18",0.2
"271","PERLIS","Week 19",2.8
"272","KEDAH","Week 19",16.2
"273","PULAU PINANG","Week 19",20
"274","PERAK","Week 19",34.8
"275","SELANGOR","Week 19",319.6
"276","WPKL/PUTRAJAYA","Week 19",60.6
"277","N.SEMBILAN","Week 19",31.4
"278","MELAKA","Week 19",12
"279","JOHOR","Week 19",52.6
"280","PAHANG","Week 19",11.8
"281","TERENGGANU","Week 19",12.4
"282","KELANTAN","Week 19",29.2
"283","SARAWAK","Week 19",29
"284","SABAH","Week 19",17.2
"285","LABUAN","Week 19",0
"286","PERLIS","Week 20",2.2
"287","KEDAH","Week 20",19.2
"288","PULAU PINANG","Week 20",21
"289","PERAK","Week 20",35.8
"290","SELANGOR","Week 20",335.2
"291","WPKL/PUTRAJAYA","Week 20",66.4
"292","N.SEMBILAN","Week 20",28.8
"293","MELAKA","Week 20",14.4
"294","JOHOR","Week 20",55.4
"295","PAHANG","Week 20",14.2
"296","TERENGGANU","Week 20",13.6
"297","KELANTAN","Week 20",29.8
"298","SARAWAK","Week 20",25.2
"299","SABAH","Week 20",19.8
"300","LABUAN","Week 20",0
"301","PERLIS","Week 21",1.75
"302","KEDAH","Week 21",17.75
"303","PULAU PINANG","Week 21",21.75
"304","PERAK","Week 21",28.25
"305","SELANGOR","Week 21",218.25
"306","WPKL/PUTRAJAYA","Week 21",54.75
"307","N.SEMBILAN","Week 21",17.75
"308","MELAKA","Week 21",11.5
"309","JOHOR","Week 21",56.5
"310","PAHANG","Week 21",16.75
"311","TERENGGANU","Week 21",11.5
"312","KELANTAN","Week 21",26.5
"313","SARAWAK","Week 21",21.25
"314","SABAH","Week 21",15.5
"315","LABUAN","Week 21",0.5
"316","PERLIS","Week 22",3.8
"317","KEDAH","Week 22",21.6
"318","PULAU PINANG","Week 22",26
"319","PERAK","Week 22",38.6
"320","SELANGOR","Week 22",416.6
"321","WPKL/PUTRAJAYA","Week 22",65.8
"322","N.SEMBILAN","Week 22",32.2
"323","MELAKA","Week 22",10.4
"324","JOHOR","Week 22",64
"325","PAHANG","Week 22",16.2
"326","TERENGGANU","Week 22",9.6
"327","KELANTAN","Week 22",24.8
"328","SARAWAK","Week 22",23.6
"329","SABAH","Week 22",16.8
"330","LABUAN","Week 22",0.2
"331","PERLIS","Week 23",5.2
"332","KEDAH","Week 23",16
"333","PULAU PINANG","Week 23",25.8
"334","PERAK","Week 23",44.4
"335","SELANGOR","Week 23",366.8
"336","WPKL/PUTRAJAYA","Week 23",57.6
"337","N.SEMBILAN","Week 23",37.2
"338","MELAKA","Week 23",14.4
"339","JOHOR","Week 23",59.2
"340","PAHANG","Week 23",25.4
"341","TERENGGANU","Week 23",8.6
"342","KELANTAN","Week 23",26.6
"343","SARAWAK","Week 23",26.6
"344","SABAH","Week 23",25.8
"345","LABUAN","Week 23",0.2
