"","NEGERI","variable","value"
"741","WPKL/PUTRAJAYA","Week 50",70
"742","N.SEMBILAN","Week 50",37
"743","MELAKA","Week 50",31.6
"744","JOHOR","Week 50",71.4
"745","PAHANG","Week 50",36.2
"746","TERENGGANU","Week 50",23.4
"747","KELANTAN","Week 50",33.8
"748","SARAWAK","Week 50",47.4
"749","SABAH","Week 50",20.6
"750","LABUAN","Week 50",0.2
"751","PERLIS","Week 51",4
"752","KEDAH","Week 51",15.6
"753","PULAU PINANG","Week 51",58.4
"754","PERAK","Week 51",140.2
"755","SELANGOR","Week 51",689.8
"756","WPKL/PUTRAJAYA","Week 51",72.2
"757","N.SEMBILAN","Week 51",26.8
"758","MELAKA","Week 51",32.6
"759","JOHOR","Week 51",87.8
"760","PAHANG","Week 51",40.4
"761","TERENGGANU","Week 51",22
"762","KELANTAN","Week 51",31
"763","SARAWAK","Week 51",42.2
"764","SABAH","Week 51",21.4
"765","LABUAN","Week 51",0
"766","PERLIS","Week 52",2.4
"767","KEDAH","Week 52",13.6
"768","PULAU PINANG","Week 52",52.4
"769","PERAK","Week 52",143.4
"770","SELANGOR","Week 52",663.4
"771","WPKL/PUTRAJAYA","Week 52",64.4
"772","N.SEMBILAN","Week 52",46.8
"773","MELAKA","Week 52",23.8
"774","JOHOR","Week 52",79.4
"775","PAHANG","Week 52",29.4
"776","TERENGGANU","Week 52",17.8
"777","KELANTAN","Week 52",24.2
"778","SARAWAK","Week 52",42
"779","SABAH","Week 52",18.8
"780","LABUAN","Week 52",1
